partNumber,Vendor,EffectiveDate,Meter Category,Instance Series,Instance Name,vCPU,RAM,Temporary Storage,Temporary Storage Type,Instance Family,Size,Tenancy,Reservation Type,Reservation Length,Meter Region,Operating System,Licence Model,Azure Environment,Azure Priority,Azure Source,Azure Hosting Type,Pricing ,Unit,Rate,Currency,Normalised Rate,Description
4KB4G479GVMJEV3H.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $8.482 ,USD, $10.45 ,
6KQHTK6TG8RHWQEW.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $9.721 ,USD, $11.98 ,
6KQHTK6TG8RHWQEW.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $8.187 ,USD, $10.09 ,
6KQHTK6TG8RHWQEW.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $12.768 ,USD, $15.73 ,
787RT2TZNQYCBSEK.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $5.435 ,USD, $6.70 ,
787RT2TZNQYCBSEK.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $3.901 ,USD, $4.81 ,
787RT2TZNQYCBSEK.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $8.482 ,USD, $10.45 ,
EN728VP7TXYZNTCW.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $5.305 ,USD, $6.54 ,
EN728VP7TXYZNTCW.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $3.771 ,USD, $4.65 ,
EN728VP7TXYZNTCW.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $8.352 ,USD, $10.29 ,
QQMKZKZ56JCDJW88.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $5.305 ,USD, $6.54 ,
QQMKZKZ56JCDJW88.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $3.771 ,USD, $4.65 ,
QQMKZKZ56JCDJW88.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $8.352 ,USD, $10.29 ,
TCKF6C8YGPV3HV6J.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $9.721 ,USD, $11.98 ,
TCKF6C8YGPV3HV6J.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $8.187 ,USD, $10.09 ,
TCKF6C8YGPV3HV6J.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $12.768 ,USD, $15.73 ,
YGEB2MU72AFWQRD2.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $5.365 ,USD, $6.61 ,
YGEB2MU72AFWQRD2.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $3.825 ,USD, $4.71 ,
YGEB2MU72AFWQRD2.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $8.502 ,USD, $10.48 ,
ZF776JNV4PV9VHCV.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $5.365 ,USD, $6.61 ,
ZF776JNV4PV9VHCV.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $3.825 ,USD, $4.71 ,
ZF776JNV4PV9VHCV.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.24xlarge,96.00,768.00,3600.00,NVMe SSD,Memory optimized,96c / 768 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $8.502 ,USD, $10.48 ,
4XQ7QSUWS79TBP8G.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.544 ,USD, $0.67 ,
4XQ7QSUWS79TBP8G.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.410 ,USD, $0.51 ,
4XQ7QSUWS79TBP8G.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.888 ,USD, $1.09 ,
75PQQB778SKWZDR7.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.852 ,USD, $1.05 ,
75PQQB778SKWZDR7.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.724 ,USD, $0.89 ,
75PQQB778SKWZDR7.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.106 ,USD, $1.36 ,
AZNDB478X32F9E4B.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.442 ,USD, $0.54 ,
AZNDB478X32F9E4B.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.314 ,USD, $0.39 ,
AZNDB478X32F9E4B.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.696 ,USD, $0.86 ,
DSM8YFBZZ6PFUMMU.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.810 ,USD, $1.00 ,
DSM8YFBZZ6PFUMMU.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.682 ,USD, $0.84 ,
DSM8YFBZZ6PFUMMU.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.064 ,USD, $1.31 ,
HPBSPVSE6V4BEYYH.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.502 ,USD, $0.62 ,
HPBSPVSE6V4BEYYH.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.368 ,USD, $0.45 ,
HPBSPVSE6V4BEYYH.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.846 ,USD, $1.04 ,
JPDYKEXS53W2V4SP.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.614 ,USD, $0.76 ,
JPDYKEXS53W2V4SP.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.486 ,USD, $0.60 ,
JPDYKEXS53W2V4SP.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.868 ,USD, $1.07 ,
KF8QFY52DPFQ8H67.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.572 ,USD, $0.70 ,
KF8QFY52DPFQ8H67.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.444 ,USD, $0.55 ,
KF8QFY52DPFQ8H67.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.826 ,USD, $1.02 ,
XEASD6BDFJZTWAF4.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.484 ,USD, $0.60 ,
XEASD6BDFJZTWAF4.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.356 ,USD, $0.44 ,
XEASD6BDFJZTWAF4.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.2xlarge,8.00,64.00,300.00,NVMe SSD,Memory optimized,8c / 64 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.738 ,USD, $0.91 ,
3R6X56CB224DH2AA.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.014 ,USD, $1.25 ,
3R6X56CB224DH2AA.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.759 ,USD, $0.94 ,
3R6X56CB224DH2AA.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.522 ,USD, $1.88 ,
4YZGSTJ98UZ4Y3QR.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.098 ,USD, $1.35 ,
4YZGSTJ98UZ4Y3QR.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.843 ,USD, $1.04 ,
4YZGSTJ98UZ4Y3QR.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.606 ,USD, $1.98 ,
5R2BM5P82WVYVU4A.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.968 ,USD, $1.19 ,
5R2BM5P82WVYVU4A.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.713 ,USD, $0.88 ,
5R2BM5P82WVYVU4A.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.476 ,USD, $1.82 ,
6XR6GZ28BWW6G6SP.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.884 ,USD, $1.09 ,
6XR6GZ28BWW6G6SP.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.629 ,USD, $0.78 ,
6XR6GZ28BWW6G6SP.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.392 ,USD, $1.72 ,
C9N5C25DZ8FNSSAC.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.944 ,USD, $1.16 ,
C9N5C25DZ8FNSSAC.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.683 ,USD, $0.84 ,
C9N5C25DZ8FNSSAC.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.542 ,USD, $1.90 ,
K8Y22Z4EWEK9PHGR.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.028 ,USD, $1.27 ,
K8Y22Z4EWEK9PHGR.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.767 ,USD, $0.95 ,
K8Y22Z4EWEK9PHGR.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.626 ,USD, $2.00 ,
VHM3NPASWKE9AZ2M.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.620 ,USD, $2.00 ,
VHM3NPASWKE9AZ2M.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.365 ,USD, $1.68 ,
VHM3NPASWKE9AZ2M.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.128 ,USD, $2.62 ,
XGSS6G76FEPW4EPS.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.704 ,USD, $2.10 ,
XGSS6G76FEPW4EPS.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.449 ,USD, $1.79 ,
XGSS6G76FEPW4EPS.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,r5d,r5d.4xlarge,16.00,128.00,600.00,NVMe SSD,Memory optimized,16c / 128 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),Windows,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $2.212 ,USD, $2.73 ,
2DYRKD83PP6HQ2GB.4NA7Y494T4.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.8xlarge,32.00,256.00,1200.00,NVMe SSD,Memory optimized,32c / 256 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.768 ,USD, $2.18 ,
2DYRKD83PP6HQ2GB.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-09-01,Virtual Machines,r5d,r5d.8xlarge,32.00,256.00,1200.00,NVMe SSD,Memory optimized,32c / 256 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $1.257 ,USD, $1.55 ,
