partNumber,Vendor,EffectiveDate,Meter Category,Instance Series,Instance Name,vCPU,RAM,Temporary Storage,Temporary Storage Type,Instance Family,Size,Tenancy,Reservation Type,Reservation Length,Meter Region,Operating System,Licence Model,Azure Environment,Azure Priority,Azure Source,Azure Hosting Type,Pricing ,Unit,Rate,Currency,Normalised Rate,Description
W36FGJNN3ZBPWBFR.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.4xlarge,16.00,32.00,0.00,EBS only,General purpose,16c / 32 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.398 ,USD, $0.49 ,
W36FGJNN3ZBPWBFR.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.4xlarge,16.00,32.00,0.00,EBS only,General purpose,16c / 32 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.305 ,USD, $0.38 ,
W36FGJNN3ZBPWBFR.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.4xlarge,16.00,32.00,0.00,EBS only,General purpose,16c / 32 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.683 ,USD, $0.84 ,
5SF7XJHYXWNWVRY3.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.102 ,USD, $0.13 ,
5SF7XJHYXWNWVRY3.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.091 ,USD, $0.11 ,
5SF7XJHYXWNWVRY3.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.127 ,USD, $0.16 ,
CWB4RM63ZFEKYJG5.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.071 ,USD, $0.09 ,
CWB4RM63ZFEKYJG5.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.057 ,USD, $0.07 ,
CWB4RM63ZFEKYJG5.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.134 ,USD, $0.16 ,
EAYVGN74QUU7EEA7.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.046 ,USD, $0.06 ,
EAYVGN74QUU7EEA7.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.035 ,USD, $0.04 ,
EAYVGN74QUU7EEA7.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.071 ,USD, $0.09 ,
KRR55BQUU5AWE5HC.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.067 ,USD, $0.08 ,
KRR55BQUU5AWE5HC.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.053 ,USD, $0.07 ,
KRR55BQUU5AWE5HC.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.130 ,USD, $0.16 ,
MHE876BECSEWYB9P.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.042 ,USD, $0.05 ,
MHE876BECSEWYB9P.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.large,2.00,4.00,0.00,EBS only,General purpose,2c / 4 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.031 ,USD, $0.04 ,
